__quarterly__,GDPC,TB3M,CPI
,Real Gross Domestic Product,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average
1992-Q1,9540.444,3.893333333,143.7666667
1992-Q2,9643.893,3.68,144.8666667
1992-Q3,9739.185,3.083333333,145.9333333
1992-Q4,9840.753,3.07,147.1333333
1993-Q1,9857.185,2.96,148.3
1993-Q2,9914.565,2.966666667,149.5
1993-Q3,9961.873,3.003333333,150.4
1993-Q4,10097.362,3.06,151.5666667
1994-Q1,10195.338,3.243333333,152.4666667
1994-Q2,10333.495,3.986666667,153.5
1994-Q3,10393.898,4.476666667,154.7333333
1994-Q4,10512.962,5.28,155.7
1995-Q1,10550.251,5.736666667,156.9333333
1995-Q2,10581.723,5.596666667,158.2333333
1995-Q3,10671.738,5.366666667,159.2
1995-Q4,10744.203,5.26,160.3
1996-Q1,10824.674,4.93,161.4333333
1996-Q2,11005.217,5.02,162.4666667
1996-Q3,11103.935,5.096666667,163.6666667
1996-Q4,11219.238,4.976666667,164.9
1997-Q1,11291.665,5.06,165.7666667
1997-Q2,11479.33,5.046666667,166.6666667
1997-Q3,11622.911,5.046666667,167.4333333
1997-Q4,11722.722,5.09,168.4
1998-Q1,11839.876,5.053333333,169.4333333
1998-Q2,11949.492,4.976666667,170.3333333
1998-Q3,12099.191,4.823333333,171.3333333
1998-Q4,12294.737,4.253333333,172.3666667
1999-Q1,12410.778,4.406666667,173.1666667
1999-Q2,12514.408,4.453333333,173.9666667
1999-Q3,12679.977,4.65,174.8
1999-Q4,12888.281,5.043333333,175.8
2000-Q1,12935.252,5.52,176.9
2000-Q2,13170.749,5.713333333,178.0333333
2000-Q3,13183.89,6.016666667,179.3
2000-Q4,13262.25,6.016666667,180.3
2001-Q1,13219.251,4.816666667,181.7333333
2001-Q2,13301.394,3.66,182.9
2001-Q3,13248.142,3.17,184.2
2001-Q4,13284.881,1.906666667,185.3666667
2002-Q1,13394.91,1.72,186.3333333
2002-Q2,13477.356,1.713333333,187.2
2002-Q3,13531.741,1.643333333,188.1
2002-Q4,13549.421,1.333333333,188.8666667
2003-Q1,13619.434,1.156666667,189.5666667
2003-Q2,13741.107,1.04,190.0666667
2003-Q3,13970.157,0.93,190.9333333
2003-Q4,14131.379,0.916666667,191.7333333
2004-Q1,14212.34,0.916666667,192.7
2004-Q2,14323.017,1.076666667,194.0333333
2004-Q3,14457.832,1.486666667,194.9
2004-Q4,14605.595,2.006666667,196.1333333
2005-Q1,14767.846,2.536666667,197.2666667
2005-Q2,14839.707,2.863333333,198.3333333
2005-Q3,14956.291,3.36,199
2005-Q4,15041.232,3.826666667,200.3
2006-Q1,15244.088,4.393333333,201.6
2006-Q2,15281.525,4.703333333,203.0666667
2006-Q3,15304.517,4.906666667,204.4666667
2006-Q4,15433.643,4.903333333,205.5666667
2007-Q1,15478.956,4.983333333,206.9786667
2007-Q2,15577.779,4.736666667,208.1833333
2007-Q3,15671.605,4.303333333,209.4613333
2007-Q4,15767.146,3.39,211.066
2008-Q1,15702.906,2.043333333,212.6333333
2008-Q2,15792.773,1.626666667,213.9433333
2008-Q3,15709.562,1.493333333,215.7973333
2008-Q4,15366.607,0.296666667,216.6113333
2009-Q1,15187.475,0.213333333,217.371
2009-Q2,15161.772,0.173333333,218.1543333
2009-Q3,15216.647,0.156666667,218.61
2009-Q4,15379.155,0.056666667,219.602
